№,Knowledge,Completion,Description,Success Criteria,Level,Type,Domain,База скиллов
1,Жизненный цикл проекта,Yes,Инициирование–план–исполнение–контроль–закрытие,Перечисляю этапы без подсказок; могу проставить текущий статус по каждому для своего проекта.,Junior,Management,Project Management 101,Project Management 101
2,Гибкие методологии,Yes,"Сравнение каскадного и гибкого подходов, понимание, где какой уместен.",Знаю разницу на простом примере; умею выбирать подход для задачи и аргументировать.,Junior,Management,Project Management 101,Project Management 101
3,Scope проекта,Yes,Что делаем / не делаем,"Знаю, как описать scope/out of scope и умею сформулировать его в 5–7 пунктов.",Junior,Management,Project Management 101,Project Management 101
4,WBS и декомпозиция,Yes,Разбиение цели проекта на управляемые работы и задачи,Умею разложить цель на WBS до уровня задач без пропусков,Junior,Management,Project Management 101,Project Management 101
5,Роли проекта,Yes,"PM, PO, команда, заказчик",Знаю роли участников и умею объяснить каждому его зону ответственности.,Junior,Management,Project Management 101,Project Management 101
6,Базовое планирование,Yes,Методы оценки задач,Умею составить план с датами и кратко обосновать оценки по задачам.,Junior,Management,Project Management 101,Project Management 101
7,Базовая отчётность,No,Формат статусов и контроля,Мои статусы понятны стейкхолдерам и не вызывают уточняющих вопросов.,Junior,Management,Project Management 101,Project Management 101
8,Базовые понятия риска,Yes,"Вероятность, влияние, триггеры",Я отличаю риск от проблемы и формулирую их правильно.,Junior,Management,Risk Management,Risk Management
9,Идентификация рисков,No,Инструменты сбора рисков,Я собираю полный список рисков по проекту без явных пропусков. Владею методологиями сбора,Junior,Management,Risk Management,Risk Management
10,Оценка и визуализация рисков,Yes,Матрица вероятности/влияния,Я могу расставить риски по матрице и выбрать топ-критичные,Junior,Management,Risk Management,Risk Management
11,SWOT-анализ,Yes,"Силы, слабости, возможности и риски",Я провожу SWOT и делаю практичные выводы для проекта.,Junior,Management,Risk Management,Risk Management
12,PESTEL-анализ,No,Анализ внешних рисков,Я могу назвать минимум по одному внешнему риску в каждой категории.,Junior,Management,Risk Management,Risk Management
13,План реагирования,Yes,Стратегии avoid/ mitigate/ transfer/ accept/ escalate,Умею для топ-рисков выбрать стратегию реагирования и назначить ответственных.,Junior,Management,Risk Management,Risk Management
14,Реестр рисков,Yes,"Таблица рисков, действий и статусов","Умею вести risk log так, чтобы по нему было понятно состояние рисков проекта.",Junior,Management,Risk Management,Risk Management
15,Роли и ответственность,No,RACI и распределение задач.,"Умею разнести задачи по RACI так, чтобы не было «ничьих» зон.",Junior,Management,People Management,People Management
16,Постановка задач,Yes,"Цель, срок и критерии done","Умею формулировать задачу так, что человек может пересказать её своими словами.",Junior,Management,People Management,People Management
17,1:1 и обратная связь,Yes,Регулярные личные встречи и умение давать фидбек,"Умею проводить 1:1, где человек уходит с понятными договорённостями и следующими шагами.",Junior,Management,People Management,People Management
18,Мотивация команды,No,Драйверы и демотиваторы,Знаю основные мотиваторы ключевых людей и умею учитывать их в работе.,Junior,Management,People Management,People Management
19,Управление конфликтами,No,Базовые техники урегулирования,"Умею разруливать конфликт так, чтобы стороны договорились о конкретных шагах.",Junior,Management,People Management,People Management
20,Онбординг новичка,No,Ввод в команду и проект,"Умею составить простой план онбординга, по которому новичок выходит на продуктив за 2–3 недели.",Junior,Management,People Management,People Management
21,Performance review,No,Разбор результатов и план развития,"Умею провести ревью так, чтобы человек понял свои сильные стороны и зоны роста",Junior,Management,People Management,People Management
22,Карта стейкхолдеров,Yes,Матрица влияния и интереса,Умею построить карту стейкхолдеров и выделить ключевых по влиянию,Junior,Management,Stakeholder Management,Stakeholder Management
23,Анализ ожиданий,Yes,Требования и критерии успеха,Умею собрать и зафиксировать ожидания каждого ключевого стейкхолдера,Junior,Management,Stakeholder Management,Stakeholder Management
24,План коммуникаций,No,"Формат, частота и каналы",Умею составить план коммуникаций и согласовать его с участниками,Junior,Management,Stakeholder Management,Stakeholder Management
25,Управление ожиданиями,Yes,Корректировка запросов и ожиданий,Умею корректно объяснить ограничения и согласовать реалистичные ожидания,Junior,Management,Stakeholder Management,Stakeholder Management
26,Работа с рекламациями,No,Обработка жалоб и претензий,Умею структурировано разобрать эскалацию и предложить понятный план действий,Junior,Management,Stakeholder Management,Stakeholder Management
27,Презентация статусов,No,Доклады для бизнеса,"Умею провести статус-сессию, после которой стейкхолдеры понимают, что происходит",Junior,Management,Stakeholder Management,Stakeholder Management
28,Работа с трудными стейкхолдерами,Yes,Токсичные/хаотичные люди,Умею выстраивать рабочие отношения с «сложными» людьми без постоянных конфликтов,Junior,Management,Stakeholder Management,Stakeholder Management
29,Структура блокчейна,No,"Блоки, хеши, цепочка","Знаю, как формируется блок и почему данные в цепочке нельзя просто подменить",Junior,Crypto,Web3 and Crypto Basics,Web3 and Crypto Basics
30,Механизм транзакций и gas,No,Комиссии и подтверждения,Умею объяснить путь транзакции от кошелька до включения в блок и от чего зависит gas,Junior,Crypto,Web3 and Crypto Basics,Web3 and Crypto Basics
31,Адреса и ключи,No,"Публичный/приватный ключ, сид-фраза, безопасность","Знаю, чем отличаются адрес и приватный ключ и умею сформулировать правила их защиты",Junior,Crypto,Web3 and Crypto Basics,Web3 and Crypto Basics
32,Основы смарт-контрактов,No,,"Умею на примере объяснить, как смарт-контракт управляет балансами и правилами",Junior,Crypto,Web3 and Crypto Basics,Web3 and Crypto Basics
33,Стандарты токенов ERC-20/721,No,,Знаю основные функции ERC-20/721 и умею описать разницу между ними,Junior,Crypto,Web3 and Crypto Basics,Web3 and Crypto Basics
34,Сети,No,Основные сети и роллапы (L1/L2),"Умею объяснить, зачем нужны L2 и чем они отличаются от L1",Junior,Crypto,Web3 and Crypto Basics,Web3 and Crypto Basics
35,Базовые крипто-риски,No,"Потеря ключей, скамы, фишинг. Методы борьбы",Знаю основные риски и умею сформулировать минимальные правила безопасности для новичка,Junior,Crypto,Web3 and Crypto Basics,Web3 and Crypto Basics
36,SDLC,No,"Требования, разработка, тесты, релиз, поддержка","Знаю фазы SDLC и умею определить, на какой из них находится фича.",Junior,Tech,Software Development,Software Development
37,Scrum-процесс,No,"Роли, спринты, артефакты",Умею описать цикл спринта от планирования до ретро и роли внутри Scrum,Junior,Tech,Software Development,Software Development
38,Kanban-подход,No,Поток задач и WIP-лимиты,"Умею настроить доску Kanban и объяснить, как WIP-лимиты уменьшают незавершёнку",Junior,Tech,Software Development,Software Development
39,Git основы,No,"Коммиты, ветки, merge, PR",Знаю базовые операции Git и умею читать историю изменений по репозиторию,Junior,Tech,Software Development,Software Development
40,Чтение кода,No,Понимание простых функций,"Умею прочитать простой фрагмент кода и словами описать, что он делает",Junior,Tech,Software Development,Software Development
41,Окружения dev/test/prod,No,,"Знаю назначение каждой среды и умею понять, где сейчас живёт фича",Junior,Tech,Software Development,Software Development
42,CI/CD базовый пайплайн,No,"Автосборка, выкаты версий",Умею нарисовать схему пайплайна и описать его шаги на уровне PM,Junior,Tech,Software Development,Software Development
43,Дискавери-интервью,No,Выявление реальной задачи клиента,Умею провести интервью и получить 3–5 чётких проблем клиента,Middle,Management,Presale Activities,Presale Activities
44,Сбор и формализация требований,No,Перевод хотелок в требования,"Умею оформить требования в документ, который клиент может утвердить",Middle,Management,Presale Activities,Presale Activities
45,Оценка объёма и сроков,No,Без помощи команды,"Умею дать оценку по объёму и срокам, которую признаёт реалистичной команда",Middle,Management,Presale Activities,Presale Activities
46,Структура коммерческого предложения,No,"Проблема, решение, объём, сроки, бюджет","Умею собрать КП, по которому клиент понимает, что получит и за сколько",Middle,Management,Presale Activities,Presale Activities
47,Презентация решения,No,Питч для клиента,"Умею провести презентацию так, чтобы клиент понял ценность и следующие шаги",Middle,Management,Presale Activities,Presale Activities
